,year,title
0,2025,Multi-Omics Feature Selection to Identify Biomarkers for Hepatocellular Carcinoma
1,2025,Genome‑Based Reclassification of Dactylosporangium matsuzakiense Shomura and Niida 1983 As A Later Heterotypic Synonym of Dactylosporangium vinaceum Shomura et al. 1983 and Proposal of Dactylosporangium vinaceum subsp. vinaceum subsp. nov. and Dactylosporangium vinaceum subsp. matsuzakiense subsp. n
2,2025,Next-generation sequencing applications in food science: fundamentals and recent advances
3,2025,Comprehensive mapping of transcription terminator Rho utilization (Rut) sites across the Bacillus subtilis genome
4,2025,Identification of Keystone Plant Species for Avian Foraging and Nesting in Beijing’s Forest Ecosystems: Implications for Urban Forest Bird Conservation
5,2025,Indirect impact of quorum sensing on corrosion of graphene-coated copper via sulfate-reducing bacteria biofilm enhancement
6,2025,Unlocking the African bioeconomy and strengthening biodiversity conservation through genomics and bioinformatics
7,2025,From Prompt to Pipeline: Large Language Models for Scientific Workflow Development in Bioinformatics
8,2025,Deciphering the molecular mechanisms of oyster resistance to Pacific Oyster Mortality Syndrome (POMS) disease induced by high temperatures.
9,2025,CRABS: A syntactic-semantic pincer strategy for bounding LLM interpretation of Python notebooks
10,2025,Primary cell cultures from deceased harbor porpoises to study effects of polystyrene nanoplastics on gene expression.
11,2025,Streaming I/O for scientific workflow engine acceleration
12,2025,‘What’s in a name? Fit-for-purpose bacterial nomenclature’: meeting report
13,2025,Genome-based reclassification within Geomonas: Geomonas nitrogeniifigens Liu et al. 2022 as a heterotypic synonym of Geomonas diazotrophica Xu et al. 2022 and Geomonas fuzhouensis Yang et al. 2023 as a later heterotypic synonym of Geomonas subterranea Liu et al. 2022.
14,2025,Cadmium immobilization in river sediments using nano-chlorapatite modified biochars: Effects on prokaryotic communities.
15,2025,Probing Field Cancerization in the Gastrointestinal Tract Using a Hybrid Raman and Partial Wave Spectroscopy Microscope
16,2025,"Plasmid and chromosomal sequences of Pantoea agglomerans isolated from air in Fort Collins, Colorado"
17,2025,A Terminology for Scientific Workflow Systems
18,2025,A glycine at position 105 leads to clavulanic acid and avibactam resistance in class A β-lactamases
19,2025,Microbial metabolisms determine soil priming effect induced by organic inputs
20,2025,Studies on the Japanese soil-borne wheat mosaic virus movement protein highlight its ability to bind plant RNA
21,2025,A Collaborative Framework for Cross-Domain Scientific Experiments for Society 5.0
22,2025,Ecological Responses of Microbially Activated Water Flooding in Ultra-Low-Permeability Reservoirs: A Case Study of the B9 Reservoir in the Triassic Yanchang Formation
23,2025,"Complete genome sequence of Planococcus koreensis isolated from soil in Fort Collins, Colorado"
24,2025,"An open framework for archival, reproducible, and transparent science"
25,2025,A Phenotype-Driven Multi-Omic Atlas of Glioblastoma Invasion
26,2025,Integrated experiment and simulation co-design: A key infrastructure for predictive mesoscale materials modeling
27,2025,In-Depth Genome-Based Analysis of Shigella spp. and Escherichia spp.: Resolving Ambiguities and Unveiling Phylogenetic Relationships.
28,2025,"Voltage-gated ion channels in cultured gill epithelia of rainbow trout, Oncorhynchus mykiss, change in transcript abundance with exposure to freshwater."
29,2025,A whole-genome study suggests a taxonomic rearrangement of Saccharopolyspora subtropica as a later heterotypic synonym of Saccharopolyspora thermophila and Saccharopolyspora spinosporotrichia as a later heterotypic synonym of Saccharopolyspora erythraea.
30,2025,Validation studies and multiomics analysis of Zhx2 as a candidate quantitative trait gene underlying brain oxycodone metabolite (oxymorphone) levels and behavior.
31,2025,Addressing persistent challenges in digital image analysis of cancer tissue: resources developed from a hackathon
32,2025,Taxonomic refinement of Bacillus thuringiensis
33,2025,Reclassification of Actinomadura catellatispora Lu et al. 2003 as a later synonym of Actinomadura livida Lavrova and Preobrazhenskaya 1975 (Approved List 1980) based on whole-genome analysis.
34,2025,Implementation of an adaptive laboratory evolution strategy for improved production of valuable microbial secondary metabolites.
35,2025,Technical considerations and review of urinary microRNAs as biomarkers for chronic kidney disease in dogs and cats.
36,2025,Galaxy as a gateway to bioinformatics: Multi-Interface Galaxy Hands-on Training Suite (MIGHTS) for scRNA-seq
37,2024,"Differential effect of acute versus persistent insect-specific flavivirus infection on superinfection exclusion of West Nile, Zika and chikungunya viruses in RNAi-competent and -deficient mosquito cells"
38,2024,Characterising reproducibility debt in scientific software: A systematic literature review
39,2024,OpenMS WebApps: Building User-Friendly Solutions for MS Analysis
40,2024,Parsl+CWL: Towards Combining the Python and CWL Ecosystems
41,2024,"Exome Profiling Suggests Combined Effect of Myeloperoxidase, Toll-Like Receptors, and Metallopeptidase in Hidradenitis Suppurativa"
42,2024,"Introduction of a single-nucleotide variant, rs16851030, into the ADORA1 gene increased cellular susceptibility to hypoxia."
43,2024,Transcriptomic profiling of unmethylated full mutation carriers implicates TET3 in FMR1 CGG repeat expansion methylation dynamics in fragile X syndrome
44,2024,Phylogenomic analyses of the Listeriaceae family support species reclassification and proposal of a new family and new genera.
45,2024,Design and implementation of a metagenomic analytical pipeline for respiratory pathogen detection
46,2024,Comprehensive Analysis of Breast Cancer Cell Lines: Genome-wide Insights from ChIP-seq Analysis
47,2024,Molecular basis of global promoter sensing and nucleosome capture by the SWR1 chromatin remodeler
48,2024,Where's the Data? Finding and Reusing Datasets in Computing Education
49,2024,Phylogenomic Analysis Supports the Reclassification of Caldicoprobacter faecalis (Winter et al. 1988) Bouanane-Darenfed et al. (2015) as a Later Heterotypic Synonym of Caldicoprobacter oshimai Yokoyama et al. (2010).
50,2024,CuttleFlow: Infrastructure-Specific Workflow Adaption for Improved Reusability
51,2024,Cell cycle-dependent mRNA localization in P-bodies
52,2024,The AAV2.7m8 capsid packages a higher degree of heterogeneous vector genomes than AAV2.
53,2024,Artificial Intelligence-Driven Prediction Revealed CFTR Associated with Therapy Outcome of Breast Cancer: A Feasibility Study
54,2024,BioPipeline Creator—a user-friendly Java-based GUI for managing and customizing biological data pipelines
55,2024,How Do Users Design Scientific Workflows? The Case of Snakemake and Nextflow
56,2024,Schistosoma haematobium and Schistosoma bovis first generation hybrids undergo gene expressions changes consistent with species compatibility and heterosis
57,2024,A benchmark suite and performance analysis of user-space provenance collectors
58,2024,Evaluating Tools for Enhancing Reproducibility in Computational Scientific Experiments
59,2024,Towards Evidence-Based Software Quality Practices for Reproducibility: Practices and Aligned Software Qualities
60,2024,The Role and Applications of Artificial Intelligence in the Treatment of Chronic Pain.
61,2024,Haxe as a Swiss knife for bioinformatic applications: the SeqPHASE case story
62,2024,Microbial education plays a crucial role in harnessing the beneficial properties of microbiota for infectious disease protection in Crassostrea gigas
63,2024,Empowering bioinformatics communities with Nextflow and nf-core
64,2024,CACTUS: Chemistry Agent Connecting Tool Usage to Science
65,2024,Seasonal covariations of diet-gut microbiota in the adaptation of the newly reintroduced Père David's deer (Elaphurus davidianus) to the northern habitat
66,2024,Massively scalable workflows for quantum chemistry: BigChem and ChemCloud.
67,2024,Ammonia transport in the excretory system of mosquito larvae (Aedes aegypti): Rh protein expression and the transcriptome of the rectum.
68,2024,The functional and structural characterisation of the bZIP transcription factors from Myristica fragrans Houtt. associated to plant disease-resistant defence: An insight from transcriptomics and computational modelling.
69,2024,Positive epistasis drives clavulanic acid resistance in double mutant libraries of BlaC β-lactamase
70,2024,Viash: A meta-framework for building reusable workflow modules
71,2024,Role of Transcriptomics in Precision Oncology
72,2023,La integración de los datos en el fútbol de élite. Un nuevo paradigma de investigación
73,2023,Benesh: a Framework for Choreographic Coordination of In Situ Workflows
74,2023,An Approach to Implementing High-Performance Computing for Problem Solving in Workflow-Based Energy Infrastructure Resilience Studies
75,2023,Next-Generation Sequencing for the Detection of Microbial Agents in Avian Clinical Samples
76,2023,Effects of microplastics on litter decomposition in wetland soil.
77,2023,"End-to-End Workflows for Climate Science: Integrating HPC Simulations, Big Data Processing, and Machine Learning"
78,2023,A qualitative assessment of using ChatGPT as large language model for scientific workflow development
79,2023,Identification of ascorbate- and salicylate-responsive miRNAs and verification of the spectral control of miR395 in Arabidopsis.
80,2023,Base-Excision Repair Mutational Signature in Two Sebaceous Carcinomas of the Eyelid
81,2023,Molecular Property Diagnostic Suite Compound Library (MPDS-CL): a structure-based classification of the chemical space
82,2023,Synaptopodin Regulates Denervation-Induced Plasticity at Hippocampal Mossy Fiber Synapses
83,2023,Structural Evolution of Gene Promoters Driven by Primate-Specific KRAB Zinc Finger Proteins
84,2023,Regulation of the somatotropic axis by MYC-mediated miRNA repression
85,2023,A new gene for autosomal dominant facial palsy/migraine identified in a family by whole exome sequencing
86,2023,Genome-based reclassification of Kitasatospora niigatensis as a later heterotypic synonym of Kitasatospora cineracea Tajima et al. (2001)
87,2023,Hypermedia-based software architecture enables Test-Driven Development
88,2023,Challenges and opportunities in sharing microbiome data and analyses
89,2023,Transcriptome-wide marker gene expression analysis of stress-responsive sulfate-reducing bacteria
90,2023,How do users design scientific workflows? The Case of Snakemake
91,2023,Population structure and genetic diversity of Streptococcus suis isolates obtained from the United States
92,2023,Reusability Challenges of Scientific Workflows: A Case Study for Galaxy
93,2023,Privacy-Preserving Linkage of Distributed Datasets using the Personal Health Train
94,2023,Self-demixing of mRNA copies buffers mRNA:mRNA and mRNA:regulator stoichiometries
95,2023,"Colorectal Cancer Archaeome: A Metagenomic Exploration, Tunisia"
96,2023,A decentralized prediction-based workflow load balancing architecture for cloud/fog/IoT environments
97,2023,Comparative Microbiome Analysis of Three Epidemiologically Important Tick Species in Latvia
98,2023,Addressing persistent challenges in digital image analysis of cancerous tissues
99,2023,Active Research Data Management with the Django Globus Portal Framework
100,2023,Reproducibility in Machine Learning-Driven Research
101,2023,Haematopoietic stem and progenitor cell heterogeneity is inherited from the embryonic endothelium
102,2023,Utility of the Python package Geoweaver_cwl for improving workflow reusability: an illustration with multidisciplinary use cases
103,2023,Melkersson–Rosenthal Syndrome and Migraine: A New Phenotype Associated with SCN1A Variants?
104,2023,Why We Need Open Data in Computer Science Education Research
105,2023,Towards Reproducible Execution of Closed-Source Applications from Internet Archives
106,2023,"Deletion of a Single Lysine Residue at Position 292 of CAMK2A Disrupts Protein Function, Causing Severe Epileptic Encephalopathy and Intellectual Disability"
107,2023,Scientific workflow execution in the cloud using a dynamic runtime model
108,2023,Identification by Exome Sequencing of Predisposing Variants in Familial Cases of Autoinflammatory Recurrent Fevers
109,2023,"Transcriptional repression by the histone tails in budding yeast is mediated by Rpd3, Tup1-Ssn6, and Bur6/NC2."
110,2023,Distinctly different gut microbiota in Japanese badgers and Japanese raccoon dogs despite sharing similar food habits and environments
111,2023,ACCT is a fast and accessible automatic cell counting tool using machine learning for 2D image segmentation
112,2023,Mir-183 functions as an oncogene via decreasing PTEN in breast cancer cells
113,2023,Disruption of fish gut microbiota composition and holobiont’s metabolome during a simulated Microcystis aeruginosa (Cyanobacteria) bloom
114,2023,Schistosoma haematobium and Schistosoma bovis first generation hybrids undergo large gene expressions remodeling consistent with species compatibility
115,2023,Spontaneously occurring tumors in different wild-derived strains of hydra
116,2023,Gut microbial signatures and their functions in Behcet's uveitis and Vogt-Koyanagi-Harada disease.
117,2023,Effect of Anthropogenic Disturbances on the Microbial Relationship during Bioremediation of Heavy Metal-Contaminated Sediment
118,2023,Galaxy for open-source computational drug discovery solutions
119,2023,Deep relationships between bacterial community and polycyclic aromatic hydrocarbons in soil profiles near typical coking plants
120,2023,Early-life stress and ovarian hormones alter transcriptional regulation in the nucleus accumbens resulting in sex-specific responses to cocaine
121,2023,transXpress: a Snakemake pipeline for streamlined de novo transcriptome assembly and annotation
122,2023,Expression of the primate-specific LINC00473 RNA in mouse neurons promotes excitability and CREB-regulated transcription
123,2023,A frame-shift mutation in COMTD1 is associated with impaired pheomelanin pigmentation in chicken
124,2023,The natural product chlorotonil A preserves colonization resistance and prevents relapsing Clostridioides difficile infection.
125,2023,Oral microbiome variations related to ageing: possible implications beyond oral health
126,2023,Multi class intracellular protein targeting predictions in diatoms and other algae with complex plastids: ASAFind 2.0
127,2023,"Uncovering the gastrointestinal passage, intestinal epithelial cellular uptake and AGO2 loading of milk miRNAs in neonates using xenomiRs as tracers."
128,2023,Overlapping Local and Systemic Defense Induced by an Oomycete Fatty Acid MAMP and Brown Seaweed Extract in Tomato
129,2023,Effect of deposit chemistry on microbial community structure and activity: Implications for under-deposit microbial corrosion
130,2023,A novel nematode species from the Siberian permafrost shares adaptive mechanisms for cryptobiotic survival with C. elegans dauer larva
131,2023,ScRNA-seq and ST-seq in liver research
132,2023,Diversity of the holopelagic Sargassum microbiome from the Great Atlantic Sargassum Belt to coastal stranding locations.
133,2023,Promoting Reproducibility and Integrity in Observational Research: One Approach of an Epidemiology Research Community
134,2023,Interaction between Illite and a Pseudomonas stutzeri-Heavy Oil Biodegradation Complex
135,2023,RADX Gene Variant May Predispose to Familial Asperger Syndrome
136,2023,A virulence activator of a surface attachment protein in Burkholderia pseudomallei acts as a global regulator of other membrane-associated virulence factors
137,2023,Towards a Unified User Interface for Visual Analysis of Retinal Data in Ophthalmology
138,2022,GENOMIC ANALYSIS TO ELUCIDATE THE ANTIBIOTIC RESISTANCE MECHANISM OF EXTREMELY DRUG-RESISTANT PSEUDOMONAS AERUGINOSA STRAINS ISOLATED FROM BANGLADESH
139,2022,Complex of Proline-Specific Peptidases in the Genome and Gut Transcriptomes of Tenebrionidae Insects and Their Role in Gliadin Hydrolysis
140,2022,DivBrowse—interactive visualization and exploratory data analysis of variant call matrices
141,2022,Data management strategy for a collaborative research center
142,2022,Maize domestication phenotypes reveal strigolactone networks coordinating grain size evolution with kernel-bearing cupule architecture.
143,2022,Alkaloid production and response to natural adverse conditions in Peganum harmala: in silico transcriptome analyses
144,2022,"Geographical distance, host evolutionary history and diet drive gut microbiome diversity of fish across the Yellow River"
145,2022,A Web-based Software Resource for Interactive Analysis of Multiplex Tissue Imaging Datasets
146,2022,Haplotypic variants of COVID‐19 related genes are associated with blood pressure and metabolites levels
147,2022,RNAlysis: analyze your RNA sequencing data without writing a single line of code
148,2022,Augmented lineage: traceability of data analysis including complex UDF processing
149,2022,Implementation of Workflow Engine on BRIN HPC Infrastructure
150,2022,Genomes of Vibrio metoecus co-isolated with Vibrio cholerae extend our understanding of differences between these closely related species
151,2022,A survey of the European Open Science Cloud services for expanding the capacity and capabilities of multidisciplinary scientific applications
152,2022,Whole exome sequencing identifies a rare variant in MAS1 gene in a subject with lethal COVID-19
153,2022,Chromatin localization of nucleophosmin organizes ribosome biogenesis
154,2022,Challenges of Provenance in Scientific Workflow Management Systems
155,2022,Genetic Characterization in Familial Rotator Cuff Tear: An Exome Sequencing Study
156,2022,Predicting yield traits of individual field-grown Brassica napus plants from rosette-stage leaf gene expression
157,2022,"CORAL: A framework for rigorous self-validated data modeling and integrative, reproducible data analysis"
158,2022,Basics on network theory to analyze biological systems: a hands-on outlook
159,2022,"Linking scientific instruments and computation: Patterns, technologies, and experiences"
160,2022,Unbiased prediction of off‐target sites in genome‐edited rice using SITE‐Seq analysis on a web‐based platform
161,2022,Enabling LivePublication
162,2022,Direct ITR-to-ITR nanopore sequencing of AAV vector genomes.
163,2022,Hematopoietic stem and progenitor cell heterogeneity is inherited from the embryonic hemogenic endothelium
164,2022,Assessment of mitochondrial DNA viability ratio in day-4 biopsied embryos as an add-in to select euploid embryos for single embryo transfer.
165,2022,saks-nf: A json solution for Nextflow pipeline construction
166,2022,A scalable framework for the discovery of functional helicase substrates and helicase-driven regulatory switches
167,2022,"Typical Enhancers, Super-Enhancers, and Cancers"
168,2022,"GlycAP, a glycoproteomic analysis platform for site-specific N-glycosylation research"
169,2022,MicroRNA-218 instructs proper assembly of hippocampal networks
170,2022,Globus Automation Services: Research process automation across the space-time continuum
171,2022,"GSA Central—A web platform to perform, learn, and discuss gene set analysis"
172,2022,Generation of synthetic antibody fragments with optimal complementarity determining region lengths for Notch-1 recognition
173,2022,Building an Open Representation for Biological Protocols
174,2022,Association Between Non-Suicidal Self-Injury and Gut Microbial Characteristics in Chinese Adolescent
175,2022,"Neuroscience Cloud Analysis As a Service: An open-source platform for scalable, reproducible data analysis"
176,2022,A taxonomy of tools and approaches for distributed genomic analyses
177,2022,Dissecting the invasion of Galleria mellonella by Yersinia enterocolitica reveals metabolic adaptations and a role of a phage lysis cassette in insect killing
178,2022,SciStream: Architecture and Toolkit for Data Streaming between Federated Science Instruments
179,2022,Reticulate Evolution in the Western Mediterranean Mountain Ranges: The Case of the Leucanthemopsis Polyploid Complex
180,2022,Genome Sequence Analysis and Characterization of Shiga Toxin 2 Production by Escherichia coli O157:H7 Strains Associated With a Laboratory Infection
181,2022,The Arabidopsis endosperm is a temperature-sensing tissue that implements seed thermoinhibition through phyB
182,2022,High-Resolution Mapping of Barley mild mosaic virus Resistance Gene rym15
183,2022,"Xanthomonas bonasiae sp. nov. and Xanthomonas youngii sp. nov., isolated from crown gall tissues."
184,2022,Diverse Host Plants of the First Instars of the Invasive Lycorma delicatula: Insights from eDNA Metabarcoding
185,2022,Function and dynamics of the Mediator complex: novel insights and new frontiers
186,2022,"BioExcel Building Blocks Workflows (BioBB-Wfs), an integrated web-based platform for biomolecular simulations"
187,2022,Challenges in Analyzing Functional Epigenetic Data in Perspective of Adolescent Psychiatric Health
188,2022,SparkFlow: Towards High-Performance Data Analytics for Spark-based Genome Analysis
189,2022,Genomic and Bioinformatic Resources for Perennial Fruit Species
190,2022,"Enabling Dynamic and Intelligent Workflows for HPC, Data Analytics, and AI Convergence"
191,2022,"Linking Scientific Instruments and HPC: Patterns, Technologies, Experiences"
192,2022,CRISPRs in the human genome are differentially expressed between malignant and normal adjacent to tumor tissue
193,2022,Transcriptome Profiling in the Marine Red Alga Neopyropia yezoensis Under Light/Dark Cycle
