,date,new_count,updated_count,updated_cum_count,new_cum_count
0,2019-04-06,0,422,422,0
1,2019-04-23,0,423,845,0
2,2019-06-06,0,52,897,0
3,2019-06-08,0,14,911,0
4,2019-06-15,0,7,918,0
5,2019-06-21,0,24,942,0
6,2019-06-27,0,36,978,0
7,2019-07-06,0,50,1028,0
8,2019-07-13,0,15,1043,0
9,2019-07-19,0,66,1109,0
10,2019-07-27,0,9,1118,0
11,2019-08-03,0,9,1127,0
12,2019-08-10,0,28,1155,0
13,2019-08-18,0,19,1174,0
14,2019-08-24,0,34,1208,0
15,2019-08-31,0,21,1229,0
16,2019-09-07,0,19,1248,0
17,2019-09-14,0,91,1339,0
18,2019-09-21,0,34,1373,0
19,2019-09-29,0,10,1383,0
20,2019-10-05,0,30,1413,0
21,2019-10-12,0,22,1435,0
22,2019-10-17,0,33,1468,0
23,2019-10-19,0,291,1759,0
24,2019-11-10,0,606,2365,0
25,2019-11-15,0,68,2433,0
26,2019-11-22,0,22,2455,0
27,2019-11-30,0,21,2476,0
28,2019-12-07,0,37,2513,0
29,2019-12-14,0,267,2780,0
30,2019-12-21,0,104,2884,0
31,2019-12-28,0,10,2894,0
32,2020-01-04,0,1,2895,0
33,2020-01-11,0,27,2922,0
34,2020-01-18,0,24,2946,0
35,2020-01-25,0,113,3059,0
36,2020-02-01,0,45,3104,0
37,2020-02-08,0,66,3170,0
38,2020-02-17,0,40,3210,0
39,2020-02-21,0,13,3223,0
40,2020-02-29,0,39,3262,0
41,2020-03-07,0,36,3298,0
42,2020-03-10,0,127,3425,0
43,2020-03-14,0,27,3452,0
44,2020-03-21,0,124,3576,0
45,2020-03-28,0,38,3614,0
46,2020-04-04,0,40,3654,0
47,2020-04-11,0,83,3737,0
48,2020-04-18,0,8,3745,0
49,2020-04-25,0,51,3796,0
50,2020-05-02,0,49,3845,0
51,2020-05-15,0,132,3977,0
52,2020-05-24,0,46,4023,0
53,2020-05-30,0,23,4046,0
54,2020-06-06,0,68,4114,0
55,2020-06-13,0,21,4135,0
56,2020-06-16,0,13,4148,0
