Month,Number of active users,Number of jobs
2024-11,4724,658019
2024-10,6364,1205733
2024-09,4878,933733
2024-08,3731,769018
2024-07,4323,870264
2024-06,4710,904160
2024-05,5666,1202885
2024-04,5989,823463
2024-03,6293,930605
2024-02,5325,674573
2024-01,4592,717152
2023-12,5213,816639
2023-11,6207,1070809
2023-10,5101,1215201
2023-09,4198,713618
2023-08,3375,588605
2023-07,3462,572290
2023-06,3858,600715
2023-05,4960,1053281
2023-04,4514,1133735
2023-03,5016,1522633
2023-02,4061,1516211
2023-01,3633,1500320
2022-12,3349,915948
2022-11,4814,1074786
2022-10,3882,660872
2022-09,3256,980182
2022-08,2651,1254852
2022-07,2601,915478
2022-06,2669,627309
2022-05,3159,947022
2022-04,3275,2529782
2022-03,3928,1319875
2022-02,3305,1831170
2022-01,2626,2391010
2021-12,3204,2709732
2021-11,4113,2042249
2021-10,3280,1956718
2021-09,3057,2329485
2021-08,2400,2720208
2021-07,2472,2152476
2021-06,3065,1861271
2021-05,3089,3454393
2021-04,3377,2926223
2021-03,3338,860504
2021-02,2927,508569
2021-01,2526,727686
2020-12,2584,541547
2020-11,3332,1470057
2020-10,2958,422980
2020-09,1940,402708
2020-08,1390,1437810
2020-07,1888,420684
2020-06,1929,804292
2020-05,2040,470743
2020-04,1980,506734
2020-03,1785,404154
2020-02,1704,292244
2020-01,1571,250461
2019-12,1451,158342
2019-11,1759,189281
2019-10,1639,179961
2019-09,1113,154207
2019-08,887,264497
2019-07,1028,141744
2019-06,902,139482
2019-05,1050,173342
2019-04,1029,150358
2019-03,1030,115659
2019-02,661,124622
2019-01,626,98710
2018-12,811,96941
2018-11,660,94654
2018-10,583,156940
2018-09,444,103331
2018-08,342,128658
2018-07,379,90853
2018-06,370,230470
2018-05,332,182336
2018-04,274,109032
2018-03,187,197126
2018-02,168,260931
2018-01,123,25387
2017-12,89,400331
2017-11,130,611056
2017-10,123,13027
2017-09,102,17611
2017-08,90,16518
2017-07,83,24313
2017-06,61,16828
2017-05,56,5515
2017-04,57,218304
2017-03,92,163950
2017-02,93,219394
2017-01,110,128903
2016-12,107,55068
2016-11,95,319318
2016-10,65,83440
2016-09,97,68791
2016-08,66,7496
2016-07,65,209086
2016-06,92,79452
2016-05,61,33761
2016-04,55,14201
2016-03,66,50354
2016-02,91,24165
2016-01,69,20577
2015-12,76,13020
2015-11,75,13540
2015-10,82,12635
2015-09,91,17079
2015-08,44,10635
2015-07,63,13238
2015-06,58,7480
2015-05,38,7238
2015-04,40,7621
2015-03,45,4402
2015-02,64,8483
2015-01,41,7704
2014-12,44,2394
2014-11,62,9549
2014-10,33,3172
2014-09,42,5417
2014-08,24,10110
2014-07,32,5086
2014-06,17,3370
2014-05,24,1511
2014-04,25,2691
2014-03,48,7793
2014-02,16,5580
2014-01,14,903
2013-12,10,780
2013-11,14,11551
2013-10,18,22662
2013-09,25,4101
2013-08,8,2100
2013-07,8,2443
2013-06,8,3393
2013-05,4,1099
2013-04,5,237
2013-03,7,660
2013-02,25,4282
2013-01,1,192
2012-12,1,67
2010-10,1,3
