Month,Number of active users,Number of jobs
2024-11,7117,671028
2024-10,9985,1057159
2024-09,7332,795706
2024-08,6298,614609
2024-07,6349,697217
2024-06,6533,564372
2024-05,8810,764196
2024-04,9763,740983
2024-03,9471,724312
2024-02,8138,789059
2024-01,6812,654141
2023-12,6834,573328
2023-11,9759,679580
2023-10,8558,619832
2023-09,6635,473480
2023-08,5507,436988
2023-07,5570,537635
2023-06,6685,516783
2023-05,8278,971280
2023-04,7902,531992
2023-03,9155,584277
2023-02,6316,580795
2023-01,5912,506485
2022-12,6587,500135
2022-11,8661,464289
2022-10,7085,503076
2022-09,5605,629226
2022-08,4783,538777
2022-07,5094,671853
2022-06,6231,960178
2022-05,7554,937315
2022-04,7557,667660
2022-03,8505,611195
2022-02,5989,595118
2022-01,6073,574791
2021-12,6739,563674
2021-11,8159,580057
2021-10,6997,717540
2021-09,5550,541753
2021-08,5208,530452
2021-07,5168,629708
2021-06,6367,764726
2021-05,7123,788865
2021-04,6971,492039
2021-03,7184,629286
2021-02,5852,487076
2021-01,5579,536868
2020-12,6202,511441
2020-11,7641,597079
2020-10,6363,459456
2020-09,5536,704829
2020-08,4282,663992
2020-07,4908,513679
2020-06,5536,502715
2020-05,6713,530474
2020-04,6626,552193
2020-03,6794,481272
2020-02,5202,423305
2020-01,4921,397899
2019-12,4784,304714
2019-11,7088,390525
2019-10,6254,476918
2019-09,4520,342282
2019-08,3752,321009
2019-07,4316,357489
2019-06,4191,357139
2019-05,5314,417664
2019-04,5198,408460
2019-03,5495,373547
2019-02,4539,322982
2019-01,4640,335430
2018-12,4838,320822
2018-11,6052,369619
2018-10,5596,381690
2018-09,4053,298072
2018-08,3523,256594
2018-07,3734,279535
2018-06,4146,335328
2018-05,5081,359016
2018-04,4979,337956
2018-03,5362,388585
2018-02,4299,338778
2018-01,3790,295293
2017-12,3952,268124
2017-11,5163,372992
2017-10,4220,303069
2017-09,3552,270629
2017-08,2900,233857
2017-07,3020,237596
2017-06,3586,252779
2017-05,4269,271184
2017-04,3847,260359
2017-03,4616,279382
2017-02,3916,253464
2017-01,3532,248591
2016-12,3627,213186
2016-11,4788,236219
2016-10,4219,235346
2016-09,3639,226294
2016-08,2858,213559
2016-07,2916,245091
2016-06,3608,266505
2016-05,3692,330177
2016-04,4161,398935
2016-03,4403,329265
2016-02,3534,325264
2016-01,3318,296380
2015-12,3354,306360
2015-11,3779,266674
2015-10,3734,305908
2015-09,3312,242437
2015-08,2487,188727
2015-07,3133,273100
2015-06,2726,201649
2015-05,2793,197935
2015-04,2782,264825
2015-03,2874,272322
2015-02,2594,190624
2015-01,2299,160079
2014-12,2545,209629
2014-11,2798,193164
2014-10,2955,176205
2014-09,2313,369295
2014-08,1894,159246
2014-07,2346,166768
2014-06,2568,150645
2014-05,2743,154810
2014-04,2756,167385
2014-03,2521,126153
2014-02,2721,167451
2014-01,2573,139103
2013-12,2406,128269
2013-11,2677,168279
2013-10,2448,131855
2013-09,2124,96736
2013-08,2012,100491
2013-07,2321,96287
2013-06,2545,106356
2013-05,2678,121572
2013-04,2564,133918
2013-03,2487,124103
2013-02,2515,120314
2013-01,2537,139829
2012-12,2241,115316
2012-11,2438,136710
2012-10,2384,148707
2012-09,2089,128830
2012-08,1926,137811
2012-07,2009,137668
2012-06,1895,151735
2012-05,2181,132837
2012-04,1989,151474
2012-03,2306,151188
2012-02,1936,133142
2012-01,1823,155342
2011-12,1695,145050
2011-11,2028,151933
2011-10,1836,137063
2011-09,1715,128844
2011-08,1553,113571
2011-07,1623,144726
2011-06,1534,112110
2011-05,1535,116181
2011-04,1492,107009
2011-03,1470,139630
2011-02,1210,118112
2011-01,1060,99882
2010-12,920,70012
2010-11,1200,95305
2010-10,938,90507
2010-09,932,83141
2010-08,675,83420
2010-07,785,73262
2010-06,753,77658
2010-05,751,74940
2010-04,695,63028
2010-03,598,63273
2010-02,515,50261
2010-01,429,55471
2009-12,405,41153
2009-11,515,62721
2009-10,488,52686
2009-09,365,37181
2009-08,315,31907
2009-07,370,39509
2009-06,345,38394
2009-05,296,33401
2009-04,313,33274
2009-03,314,34126
2009-02,321,30950
2009-01,255,24930
2008-12,255,23418
2008-11,292,26997
2008-10,279,20654
2008-09,284,16398
2008-08,221,12890
2008-07,190,13847
2008-06,166,12581
2008-05,230,15665
2008-04,164,13665
2008-03,154,19817
2008-02,142,16849
2008-01,132,17017
2007-12,92,16492
2007-11,130,14112
2007-10,153,10583
2007-09,128,7413
2007-08,125,8605
2007-07,105,6164
2007-06,97,7495
2007-05,85,5048
2007-04,88,5072
2007-03,74,4264
2007-02,38,3205
2007-01,0,1964
